,paragraph,report,question,relevant_text,relevance,relevant_text_sim,sim_text_relevance,question__,simple_IR__,IR__,IR_three__,IR_all__,Refined Definition__,Raw Information Retrieval Background__
0,Sustainability Report2023,AstraZeneca Sustainability Report 2023.pdf,Does the company have a specific process in place to identify risks arising from climate change?,"In 2023, we established an internal Sustainability Steering Committee (SteerCo) comprised of leaders representing functions relevant to the sustainability strategy. The SteerCo is responsible for monitoring key sustainability impacts, risks and opportunities, including reporting and compliance, and ensuring (1) appropriate mitigation measures, (2) sustainability data quality and transition to reasonable assurance and (3) that crossfunctional teams are in place to manage ESG risks, regulatory reporting compliance and ESG ratings. ",0.0,0.201058201058201,1.0,0,0,0,0,0,0,0
1,"Access to  healthcareEnvironmental protectionEthics and  transparency2Sustainability  overviewData  annexSustainability overviewThis is our ninth annual Sustainability Report, outlining our approach  and progress from 1 January to 31 December 2023,  unless otherwise stated.Our Sustainabiltiy Report is prepared on  a consolidated basis –  all of our business  operations worldwide are in scope regardless  of their function, unless otherwise stated. In 2023, the Sustainability Report remains aligned with the materiality assessment we conducted in 2021. In 2024, there will be changes to our sustainability reporting in accordance with new requirements including the EU Corporate Sustainability Reporting Directive and a new materiality assessment.AstraZeneca has reported the information cited in this GRI content index for the period from 1 January 2023 to 31 December 2023, with reference to the GRI Standards.Annual Report 2023www.astrazeneca.com/annualreport2023AstraZeneca  sustainability resourceshttps://www.astrazeneca.com/sustainability/resources.htmlAssuranceBureau Veritas has provided limited assurance for sustainability activities reported in the sustainability data annex and in the Annual Report 2023. Details are described in the Letters of Assurance, which are publicly available.",AstraZeneca Sustainability Report 2023.pdf,Does the company have a specific process in place to identify risks arising from climate change?,"We support the Task Force on Climate-related Financial Disclosures (TCFD) framework, which we have applied annually since 2020. All our business operations worldwide are in scope, unless otherwise stated. The framework applies a risk-based approach, focusing on the most material physical and transitional risks and opportunities. ",0.0,0.5952380952380952,1.0,0,0,0,0,0,0,0
2,"Details are described in the Letters of Assurance, which are publicly available. Assurance is in accordance with the International Standard on Assurance Engagements (ISAE) 3000 (Revised), Assurance Engagements Other than Audits or Reviews of Historical Financial Information and with International Standard on Assurance Engagements 3410 – ‘Assurance Engagements on Greenhouse Gas Statements’ (‘ISAE 3410’), issued by the International Auditing and Assurance Standards Board. What science can doCardiovascular, renal and metabolic  (CVRM) diseasesCVRM diseases are complex and interconnected. It’s by understanding their interconnections and targeting the mechanisms that drive them that we’ll be able to detect, diagnose and treat people earlier and more effectively. Stop disease progression and, ultimately, improve and save the lives of the millions of patients living with these diseases.",AstraZeneca Sustainability Report 2023.pdf,Does the company have a specific process in place to identify risks arising from climate change?,"We support the Task Force on Climate-related Financial Disclosures (TCFD) framework, which we have applied annually since 2020. All our business operations worldwide are in scope, unless otherwise stated. The framework applies a risk-based approach, focusing on the most material physical and transitional risks and opportunities. ",0.0,0.3804878048780488,1.0,0,0,0,0,0,0,0
3,"Stop disease progression and, ultimately, improve and save the lives of the millions of patients living with these diseases.Sustainability overview  3Chief Executive Officer’s statement 3Performance highlights  4About us 5Governance 6What sustainability means at AstraZeneca 7Materiality assessment 7Our value chain 8Stakeholder engagement 8Access to healthcare  9Introduction and overview 10Equitable access 10Affordability and pricing 12Health system resilience 13Environmental protection 15Introduction and overview 16Ambition Zero Carbon  17Product sustainability 20Natural resources   22Data annex  29Metrics and performance data 29ContentsEthics and transparency  24Introduction and overview 25Ethical business culture 25Inclusion and diversity 27Workforce safety and health 28About this report",AstraZeneca Sustainability Report 2023.pdf,Does the company have a specific process in place to identify risks arising from climate change?,A TCFD Steering Group with cross-functional membership has oversight of the physical and transitional risks and opportunities posed to AstraZeneca by climate change. The identification and assessment of climate risk forms part of our existing risk management processes,0.0,0.3529411764705882,1.0,0,0,0,0,0,0,0
4,"Access to  healthcareEnvironmental protectionEthics and  transparency3Sustainability  overviewSustainability overviewChief Executive Officer’s statement When we come together,  we can transform the  delivery of healthcare to become more resilient, equitable and net zero.Healthcare is our common foundation. It’s the bedrock of society, and when we’re healthy, communities thrive and economies prosper. Yet, with ageing populations, the rising burden of chronic disease and the growing impact of the climate crisis on health, health systems are struggling to meet people’s health needs. And around the world, inequities in healthcare are growing from low- to high-income countries, with vulnerable populations the most affected. We must recognise the strong correlation between healthy people and a healthy planet – the science is clear. The number of heat-related deaths could more than triple by 2050 without significant action, and we’re witnessing a steep rise in heart and metabolic conditions, cancers and respiratory illnesses linked to environmental factors. The COP28 Declaration on Climate and Health was a milestone moment in recognising the urgent need to tackle the global climate-health crisis in 2023.  With the healthcare sector responsible for around five per cent of global emissions, we must significantly reduce our environmental footprint. At AstraZeneca, we’re driving deep decarbonisation across our value chain through our flagship Ambition Zero Carbon strategy .",AstraZeneca Sustainability Report 2023.pdf,Does the company have a specific process in place to identify risks arising from climate change?,A TCFD Steering Group with cross-functional membership has oversight of the physical and transitional risks and opportunities posed to AstraZeneca by climate change. The identification and assessment of climate risk forms part of our existing risk management processes,0.0,0.3859649122807017,1.0,0,0,0,0,0,0,0
5,"At AstraZeneca, we’re driving deep decarbonisation across our value chain through our flagship Ambition Zero Carbon strategy . We’re investing $1 billion to reduce emissions from the lab to the patient and are integrating more circular approaches into the discovery, development and delivery of medicines with the latest digital technologies and innovation. We’re also restoring nature and supporting biodiversity through our AZ Forest programme, which expanded in 2023 to a $400 million  initiative to plant and maintain 200 million trees by 2030. Learning from scientific and ecological experts and local communities is central to our approach, with 19.9 million trees planted to date.  We embed this collaboration mindset across all of our sustainability efforts, recognising that when we come together, we can transform the delivery of healthcare to become more resilient, equitable and net zero. We want people to live their healthiest lives, wherever they live.  The Sustainable Markets Initiative Health  Systems Task Force is a public-private partnership we’re proud to convene which focuses on accelerating the transition to net zero health systems. In 2023, we launched joint  environmental targets for suppliers, saw the establishment of a China Health Working Group, and recently concluded a multi-party agreement to access renewable power in China.   The Partnership for Health System  Sustainability and Resilience is a further example of our commitment.",AstraZeneca Sustainability Report 2023.pdf,Does the company have a specific process in place to identify risks arising from climate change?,A TCFD Steering Group with cross-functional membership has oversight of the physical and transitional risks and opportunities posed to AstraZeneca by climate change. The identification and assessment of climate risk forms part of our existing risk management processes,0.0,0.3883495145631068,1.0,0,0,0,0,0,0,0
6,"The Partnership for Health System  Sustainability and Resilience is a further example of our commitment. Together with partners, we’re delivering evidence-based recommendations which are leading to policy reforms to strengthen health systems. For example, in Italy, clinical pathways for chronic diseases are being reviewed to identify the investments needed; in Japan, a digital medical information platform is being prioritised; and in Brazil, the improvement of community-based prevention and disease management services is now a key area of focus. These are three of the 40 countries in which our Young Health  Programme is active. Here, we’re empowering young people to make healthier choices and have directly engaged over 15 million young people on non-communicable disease risk factors since 2010.  Improving health system sustainability is  also central to our flagship Healthy Heart Africa  programme. In collaboration with nine African governments and partners, we’re working to prevent and control hypertension and decrease the burden of cardiovascular disease. Over nine million people with elevated blood pressure have been identified to date, helping reduce  the pressure on health services.At AstraZeneca, we’re guided by our Values  and commitment to ethics and transparency. We champion a culture of inclusion and belonging, recognising the power of diversity in driving innovation around the globe.",AstraZeneca Sustainability Report 2023.pdf,Does the company have a specific process in place to identify risks arising from climate change?,A TCFD Steering Group with cross-functional membership has oversight of the physical and transitional risks and opportunities posed to AstraZeneca by climate change. The identification and assessment of climate risk forms part of our existing risk management processes,0.0,0.3883495145631068,1.0,0,0,0,0,0,0,0
7,"At AstraZeneca, we’re guided by our Values  and commitment to ethics and transparency. We champion a culture of inclusion and belonging, recognising the power of diversity in driving innovation around the globe. In our latest employee survey, 87 per cent said they understand how they can contribute to AstraZeneca’s sustainability priorities, which fills me with both pride and hope. In 2024, we remain focused on our commitment to delivering positive impact for the health of people, society and our planet. A sustainable future starts with health.  Pascal Soriot  AstraZeneca Chief Executive Officer2023 recognitionAs a global business we have a responsibility  to lead. We are committed to using our capabilities to help tackle some of society’s greatest challenges. CEO Pascal Soriot during London Climate Week 2023. Photograph: Sophia Evans.Rating of AA in the MSCI ESG Ratings assessmentForbes 2023 World’s Top Companies for WomenDJSI Top 20% of 2,500 of the world’s largest companies and Europe Index constituentData  annex",AstraZeneca Sustainability Report 2023.pdf,Does the company have a specific process in place to identify risks arising from climate change?,"In 2023, we established an internal Sustainability Steering Committee (SteerCo) comprised of leaders representing functions relevant to the sustainability strategy. The SteerCo is responsible for monitoring key sustainability impacts, risks and opportunities, including reporting and compliance, and ensuring (1) appropriate mitigation measures, (2) sustainability data quality and transition to reasonable assurance and (3) that crossfunctional teams are in place to manage ESG risks, regulatory reporting compliance and ESG ratings. ",0.0,0.3819444444444444,1.0,0,0,0,0,0,0,0
8,"Access to  healthcareEnvironmental protectionEthics and  transparency4Sustainability overviewSustainability overview15global leaders from the public and private sectors are members of the Sustainable Markets Initiative Health Systems Task Force, chaired by AstraZeneca CEO Pascal Soriot to accelerate the transition to net-zero health systems87%of employee survey respondents say that they understand their contributions to our sustainability priorities25/27sustainability targets  in sustainability data  annex are ‘On plan’Access to healthcare               127,384healthcare workers trained  since 2010 (cumulative)66.4mpeople reached through access to healthcare programmes (cumulative)13.6mpeople reached through  patient access programmes (cumulative)SDG 3 Good health and wellbeingSDG 17 Partnerships for the goalsEnvironmental protection67.6%reduction in Scope 1 and 2 greenhouse gas (GHG)  emissions since 2015 19.5%reduction in water  use from 201513.2%reduction in waste  from 2015SDG 6 Clean water and sanitationSDG 7 Affordable and clean energySDG 12 Responsible consumption and productionSDG 13 Climate actionSDG 15 Life on landSDG 17 Partnership for the goalsEthics and transparency  50.",AstraZeneca Sustainability Report 2023.pdf,Does the company have a specific process in place to identify risks arising from climate change?,"Our SHE management system is implemented in line with recognised international standards such as ISO 14001 and 50001. It ensures the environmental risks of our activities are assessed, operational controls are in place, checks are completed through a risk-based audit programme guided by an independent organisation and there is an annual management review process.",0.0,0.0538302277432712,1.0,0,0,0,0,0,0,0
9,1%senior middle management  roles held by women10 countrieswith supplier diversity  programmes outside the US83%of employee survey respondents feel we have a ‘speak up’ cultureSDG 3 Good health and wellbeingSDG 5 Gender equalitySDG 8 Decent work and  economic growthSDG 17 Partnership for the goalsSustainability  overviewPerformance highlightsContributing to the Sustainable Development Goals (SDGs)Data  annex,AstraZeneca Sustainability Report 2023.pdf,Does the company have a specific process in place to identify risks arising from climate change?,"In 2023, we established an internal Sustainability Steering Committee (SteerCo) comprised of leaders representing functions relevant to the sustainability strategy. The SteerCo is responsible for monitoring key sustainability impacts, risks and opportunities, including reporting and compliance, and ensuring (1) appropriate mitigation measures, (2) sustainability data quality and transition to reasonable assurance and (3) that crossfunctional teams are in place to manage ESG risks, regulatory reporting compliance and ESG ratings. ",0.0,0.0834782608695652,1.0,0,0,0,0,0,0,0
